discipline,tier,location,day_rate
AI & ML,Senior,US,2000
AI & ML,Senior Lead,US,2400
Data Engineering,Senior,US,1800
Data Engineering,Senior Lead,US,2200
Data Visualization,Senior,US,1600
Full Stack,Senior,US,1700
Full Stack,Senior Lead,US,2100
Web,Senior,US,1600
.NET,Senior,US,1700
.NET,Senior Lead,US,2100
Cloud,Senior,US,1800
Java,Senior,US,1700
Mobile,Senior,US,1700
Quality Engineering,Senior,US,1400
Quality Automation Engineering,Senior,US,1500
Business Analysis,Senior,US,1400
Design,Senior,US,1500
Product Strategy,Senior,US,1700
Solutions Architect,Senior Lead,US,2600
Project & Program Management,Senior Lead,US,2000
